pmcid,T,TR,TE,inversion_time,flip_angle,number_of_slices,image_orientation,acquisition_time,slice_thickness,FOV_x,FOV_y,FOV_z,matrix_x,matrix_y,matrix_z,voxel_size_x,voxel_size_y,voxel_size_z
PMC4910186,3,8.2,3.2,450,12,188,sagittal,,1,256,256,,256,256,,,,
PMC4917471,3,9,3.6,,,170,,,,,,,256,231,,1,1,1
PMC4932513,3,1620,3,,15,,,,1,,,,,,,,,
PMC4960447,3,5.4,2.4,,,180,,,1,256,,,,,,,,
PMC4986538,3,300,2.5,,60,32,sagittal,,4,220,220,,256,256,,,,
PMC4990879,3,7.8,3,,,,,,,256,256,,256,256,,1,1,1
PMC5008052,3,2300,2.98,,9,,sagittal,554,1.2,256,,,,,,1,1,1.2
PMC5012952,3,8.2,3.7,1100,12,,,237,,256,256,,,,,1,1,1
PMC5037039,3,2100,3.3,,7,128,,,,,,,256,256,,1,1,1.33
PMC5129576,3,9.8,4.6,,,140,sagittal,,,224,177,,,,,0.88,0.87,1.2
PMC5131954,1.5,2200,3.849,,,,,,,224,,,256,256,160,1,1,1
PMC5133646,3,2000,3,,8,208,sagittal,,,256,240,,256,256,,1,,
PMC5153672,3,2300,2.96,,,,,,1,,,,,,,1,1,1
PMC5157971,3,2000,2.26,900,8,,sagittal,,1,256,256,,,,,1,1,
PMC5249106,3,12,4.5,1100,7,,,1020,1,256,256,220,256,256,,,,
PMC5282790,3,8.2,3.2,450,12,188,sagittal,,1,256,256,,256,256,,,,
PMC6031869,1.5,25,4.1,,30,160,sagittal,,1,230,230,,,,,231,232,
PMC6097936,3,7.8,3.1,,20,160,axial,,1,256,256,,256,256,,1,,
PMC6104387,3,1900,3.51,,9,,axial,,,,,,,,,1,,
PMC6128822,3,10,3,,,124,,,,,,,256,256,,1,1,1.5
PMC6150844,3,8,3,,12,172,sagittal,,,250,250,,256,256,,0.97,0.97,1
PMC6289814,3,1800,2.67,900,9,192,sagittal,,,,,,256,256,,1,1,1
PMC6412072,1.5,30,4.6,,30,,,,,256,256,,,,,1,1,1.2
PMC6413302,3,7.3,3,400,,196,,,,270,,,,,,1.05,1.05,1.2
PMC6444286,3,11.4,4.4,,10,,,,,256,256,,,,,1,,
PMC6491039,3,2530,3.45,,7,128,sagittal,480,1.33,256,,,,,,1,1,
PMC6551253,3,,,,,160,sagittal,,,,,,192,168,,1.3,1.3,1.3
PMC6558215,3,2530,3.44,,7,192,sagittal,649,1,256,256,,256,256,,1,1,1
PMC6559844,3,9.3,3.8,,13,,,,,220,220,,,,,1,1,1
PMC6610070,3,6.8,2.6,,11,,,,1,22,,,256,256,,,,
PMC6612476,3,8.9,4.6,,8,170,,270,,256,256,170,256,256,170,,,
PMC6641556,3,1900,2.34,,,192,,,1,220,,,256,256,,1,,
PMC6677917,7,2000,2.89,1050,7,256,sagittal,,,190,,,,,,0.7,,
PMC6704377,3,7321,3,400,,196,,,1.2,240,,,,,,,,
PMC6728879,3,1950,2.26,900,7,176,sagittal,241,,,,,256,224,,1,,
PMC6889793,3,8.23,3.76,540,12,210,,,,,,,512,512,,0.9,0.9,0.9
PMC6937793,1.5,9.176,2.956,,20,128,sagittal,,1.2,,,,,,,,,
PMC7046150,3,2530,1.61,1200,7,,,,,,,,,,,1,,
PMC7057285,3,2300,3.03,900,,,,,1,256,256,,,,,1,1,1
PMC7195812,3,9.8,459,,8,180,,,1,256,,,288,288,,,,
PMC7275517,3,2300,2.96,900,9,192,sagittal,554,1,256,256,,256,256,,,,
PMC7301231,3,2530,3.45,,7,176,sagittal,,1,256,256,,256,256,,1,1,1
PMC7342100,3,7.92,2.48,910,16,176,sagittal,,,256,256,,256,256,,1,1,1
PMC7428193,3,2300,2.82,,10,,,,,,,,,,,,,
